date,lambda
2017-09-11,1.89687164898
2017-09-12,1.78244395744
2017-09-13,2.01753206824
2017-09-14,2.01033186258
2017-09-15,1.91784484613
2017-09-18,1.98830170019
2017-09-19,2.00259798701
2017-09-20,2.00658471848
2017-09-21,1.839520017
2017-09-22,1.76790289194
2017-09-25,1.81859158872
2017-09-26,1.94629729819
2017-09-27,1.91833255111
2017-09-28,1.86717822951
2017-09-29,2.05636630812
2017-10-02,2.00891988137
2017-10-03,2.08391701634
2017-10-04,2.17327724291
2017-10-05,2.18879117874
2017-10-06,2.16679842545
2017-10-09,2.18781500248
2017-10-10,2.15909964413
2017-10-11,2.389307077
2017-10-12,2.34872090303
2017-10-13,2.40627137732
2017-10-16,2.42696882114
2017-10-17,2.48093188202
2017-10-18,2.41268055899
2017-10-19,2.38698713205
2017-10-20,2.47274989992
2017-10-23,2.41375256554
2017-10-24,2.37371966609
2017-10-25,2.35943302165
2017-10-26,2.40179632734
2017-10-27,2.54415905827
2017-10-30,2.54240797026
2017-10-31,2.55679086048
2017-11-01,2.68584426447
2017-11-02,2.792421837
2017-11-03,2.90270163968
2017-11-06,2.94489467289
2017-11-07,2.75785656807
2017-11-08,2.72592793172
2017-11-09,2.53247408948
2017-11-10,2.48978487189
2017-11-13,2.52561260849
2017-11-14,2.49055948156
2017-11-15,2.30066325075
2017-11-16,2.43066664222
2017-11-17,2.32450746877
2017-11-20,2.37999603647
2017-11-21,2.36897591925
2017-11-22,2.32571584624
2017-11-24,2.34309774245
2017-11-27,2.28186433166
2017-11-28,2.49028264176
2017-11-29,2.46467745017
2017-11-30,2.61039267393
2017-12-01,2.63457842506
2017-12-04,2.6121378118
2017-12-05,2.4740004035
2017-12-06,2.42388301152
2017-12-07,2.31174706595
2017-12-08,2.35540199187
2017-12-11,2.31992461485
2017-12-12,2.35992462447
2017-12-13,2.26379653188
2017-12-14,2.33780591528
2017-12-15,2.3978028022
2017-12-18,2.49875955404
2017-12-19,2.41725795129
2017-12-20,2.35223322601
2017-12-21,2.41982468969
2017-12-22,2.44160478425
2017-12-26,2.40606550075
2017-12-27,2.38449958931
2017-12-28,2.55836550578
2017-12-29,2.47513598968
2018-01-02,2.65934656002
2018-01-03,2.63592991382
2018-01-04,2.61421930782
2018-01-05,2.71911298429
2018-01-08,2.69300484222
2018-01-09,2.77046640084
2018-01-10,2.75238049813
2018-01-11,2.80369549196
2018-01-12,2.9268335289
2018-01-16,2.84101912937
2018-01-17,3.00423059132
2018-01-18,2.95232449752
2018-01-19,3.07179023762
2018-01-22,3.12500097081
2018-01-23,3.19954197615
2018-01-24,3.10465330071
2018-01-25,3.01174838276
2018-01-26,3.1566631977
2018-01-29,3.05259361723
2018-01-30,2.95276380923
2018-01-31,2.97296068598
2018-02-01,2.95821075974
2018-02-02,2.5206524821
2018-02-05,1.61852672822
2018-02-06,1.81601004421
2018-02-07,1.75053249019
2018-02-08,1.19055270189
2018-02-09,1.27499546241
2018-02-12,1.37088679454
2018-02-13,1.34421281996
2018-02-14,1.4301612428
2018-02-15,1.49416846711
2018-02-16,1.50668816762
2018-02-20,1.42553776713
2018-02-21,1.30569384768
2018-02-22,1.32658400861
2018-02-23,1.46834977359
2018-02-26,1.56233093312
2018-02-27,1.41039015797
2018-02-28,1.31627899238
2018-03-01,1.04621501396
2018-03-02,1.15560349355
2018-03-05,1.25313229835
2018-03-06,1.31196735968
2018-03-07,1.3363827305
2018-03-08,1.40241080879
2018-03-09,1.54507680527
2018-03-12,1.50054536859
2018-03-13,1.43104664586
2018-03-14,1.40618839557
2018-03-15,1.32032534956
2018-03-16,1.35267940226
2018-03-19,1.2139587091
2018-03-20,1.24763944536
2018-03-21,1.35983053245
2018-03-22,1.06291861832
2018-03-23,0.857011952
2018-03-26,1.08340682707
2018-03-27,0.925135785473
2018-03-28,0.835642206972
2018-03-29,0.941519907417
2018-04-02,0.704017814002
2018-04-03,0.82803308056
2018-04-04,0.937328776207
2018-04-05,0.989592714542
2018-04-06,0.813219317476
2018-04-09,0.824565822504
2018-04-10,0.962960187945
2018-04-11,0.90972792025
2018-04-12,0.988105967563
2018-04-13,0.995285538838
2018-04-16,1.11887028122
2018-04-17,1.13410904394
2018-04-18,1.16527176924
2018-04-19,1.13030527533
2018-04-20,0.995374480004
2018-04-23,1.02107949244
2018-04-24,0.817646938687
2018-04-25,0.782966672044
2018-04-26,0.869984092334
2018-04-27,0.874269674871
2018-04-30,0.820296576687
2018-05-01,0.826585898466
2018-05-02,0.755754093348
2018-05-03,0.747253348058
2018-05-04,0.84291237253
2018-05-07,0.837563984093
2018-05-08,0.834768490419
2018-05-09,0.919332007494
2018-05-10,0.983548651618
2018-05-11,1.0148529934
2018-05-14,1.0338405082
2018-05-15,0.938001154593
2018-05-16,0.975829425749
2018-05-17,1.12907412061
2018-05-18,1.07686849896
2018-05-21,1.08133582663
2018-05-22,1.01321879365
2018-05-23,1.02427024539
2018-05-24,0.986838388535
2018-05-25,0.930976930395
2018-05-29,0.829189561497
2018-05-30,0.937775341516
2018-05-31,0.883728278947
2018-06-01,0.908295816344
2018-06-04,0.914075304159
2018-06-05,0.929398314335
2018-06-06,1.01912850195
2018-06-07,1.00035312562
2018-06-08,1.02293073471
2018-06-11,1.03803064823
2018-06-12,1.05975818743
2018-06-13,0.990309541211
2018-06-14,1.01797080546
2018-06-15,1.02772710012
2018-06-18,1.00772968912
2018-06-19,0.908731240512
2018-06-20,0.978067524726
2018-06-21,0.929679090348
2018-06-22,0.948094119835
2018-06-25,0.818763177267
2018-06-26,0.833553041598
2018-06-27,0.828731228104
2018-06-28,0.808283503422
2018-06-29,0.885620137801
2018-07-02,0.897548515075
2018-07-03,0.838014645942
2018-07-05,0.893557696563
2018-07-06,1.03792206529
2018-07-09,1.05592945257
2018-07-10,1.07580647093
2018-07-11,1.02289612537
2018-07-12,1.03346265076
2018-07-13,1.02683966003
2018-07-16,0.981296929058
2018-07-17,1.01290922048
2018-07-18,1.02505074354
2018-07-19,0.950091741783
2018-07-20,0.943383941617
2018-07-23,0.960773151495
2018-07-24,1.00686330051
2018-07-25,1.05381486826
2018-07-26,1.0266233721
2018-07-27,0.980161436343
2018-07-30,0.943579759383
2018-07-31,0.987468386956
2018-08-01,0.959402518697
2018-08-02,0.9938154785
2018-08-03,1.0475746614
2018-08-06,1.06017070656
2018-08-07,1.06909767956
2018-08-08,1.08617919383
2018-08-09,1.07717282179
2018-08-10,1.14153786769
2018-08-13,1.09822852785
2018-08-14,1.07059862049
2018-08-15,1.01123006288
2018-08-16,1.06103972021
2018-08-17,1.22020641259
2018-08-20,1.25429383185
2018-08-21,1.26118025682
2018-08-22,1.18093254365
2018-08-23,1.19524221003
2018-08-24,1.26070336871
2018-08-27,1.30668691999
2018-08-28,1.30457900793
2018-08-29,1.3422415267
2018-08-30,1.2686710185
2018-08-31,1.22440323971
2018-09-04,1.19464431711
2018-09-05,1.23472000682
2018-09-06,1.17922152999
2018-09-07,1.1622027926
2018-09-10,1.18925215922
2018-09-11,1.13520226935
2018-09-12,1.11081774459
2018-09-13,1.14621875078
2018-09-14,1.15708847479
2018-09-17,1.09549364932
2018-09-18,1.12590693932
2018-09-19,1.12669592883
2018-09-20,1.18244039241
2018-09-21,1.20412696473
2018-09-24,1.1695730863
2018-09-25,1.1767418985
2018-09-26,1.14874983945
2018-09-27,1.13802382557
2018-09-28,1.12791778917
2018-10-01,1.12705602961
2018-10-02,1.09265565981
2018-10-03,1.08069936295
2018-10-04,1.00204264292
2018-10-05,0.911620364813
2018-10-08,0.916748840623
2018-10-09,0.919530814155
2018-10-10,0.615006120597
2018-10-11,0.435404541303
2018-10-12,0.553661512582
2018-10-15,0.501091201246
2018-10-16,0.642648649436
2018-10-17,0.635337415375
2018-10-18,0.518145200381
2018-10-19,0.512630794783
2018-10-22,0.442018601671
2018-10-23,0.429979023084
2018-10-24,0.182437362059
2018-10-25,0.348414159911
2018-10-26,0.212340899658
2018-10-29,0.107424275741
2018-10-30,0.240561005587
2018-10-31,0.309786414694
2018-11-01,0.372050176893
2018-11-02,0.325358563289
2018-11-05,0.342542458044
2018-11-06,0.377104201012
2018-11-07,0.522087581001
2018-11-08,0.494096666186
2018-11-09,0.455021524135
2018-11-12,0.320635885732
2018-11-13,0.303299092335
2018-11-14,0.266369480359
2018-11-15,0.37646229312
2018-11-16,0.335547457564
2018-11-19,0.237153185267
2018-11-20,0.103125071586
2018-11-21,0.0791442243754
2018-11-23,0.0393672811782
2018-11-26,0.129834115543
2018-11-27,0.154114948429
2018-11-28,0.240074013655
2018-11-29,0.227531512343
2018-11-30,0.227209251804
2018-12-03,0.312813276548
2018-12-04,0.101371109543
2018-12-06,0.115555467459
2018-12-07,-0.0355550462707
2018-12-10,-0.0433796600982
2018-12-11,-0.0814894000187
2018-12-12,-0.0674554979722
2018-12-13,-0.0790104426183
2018-12-14,-0.197754884972
2018-12-17,-0.302326062677
2018-12-18,-0.359575004792
2018-12-19,-0.489752421427
2018-12-20,-0.566735528982
2018-12-21,-0.685867490842
2018-12-24,-0.856134712213
2018-12-26,-0.523578992913
2018-12-27,-0.466554791446
2018-12-28,-0.478727604261
2018-12-31,-0.439245559694
2019-01-02,-0.401754318492
2019-01-03,-0.590885217459
2019-01-04,-0.420261284502
2019-01-07,-0.403232610651
2019-01-08,-0.387984899104
2019-01-09,-0.374241021304
2019-01-10,-0.356013005008
2019-01-11,-0.350735343079
2019-01-14,-0.421223742588
2019-01-15,-0.398336250439
2019-01-16,-0.365859385222
2019-01-17,-0.376665658776
2019-01-18,-0.291684267927
2019-01-22,-0.396181056409
2019-01-23,-0.430077437966
2019-01-24,-0.434850317224
2019-01-25,-0.383245945046
2019-01-28,-0.430948470532
2019-01-29,-0.507649719694
2019-01-30,-0.380152100003
2019-01-31,-0.270259767048
2019-02-01,-0.268155861991
2019-02-04,-0.226174405825
2019-02-05,-0.0803545567248
2019-02-06,0.144144061854
2019-02-07,-0.0130892043245
2019-02-08,0.0200896560705
2019-02-11,0.251105256252
2019-02-12,0.23879275648
2019-02-13,0.173389682261
2019-02-14,0.141291422104
2019-02-15,0.125940072506
2019-02-19,0.0617866320227
2019-02-20,0.0701086770391
2019-02-21,0.0840195175421
2019-02-22,0.156242732908
2019-02-25,0.157613875093
2019-02-26,0.0553755099399
2019-02-27,-0.020040388024
2019-02-28,0.0404222155597
2019-03-01,0.151004641464
2019-03-04,0.209589779898
2019-03-05,0.171164764219
2019-03-06,0.0626295080733
2019-03-07,-0.00412884632704
2019-03-08,-0.0144959034856
2019-03-11,0.0481565808633
2019-03-12,-0.0410391795219
2019-03-13,0.00964903802427
2019-03-14,0.0434804294609
2019-03-15,0.109594325852
2019-03-18,0.137170447814
2019-03-19,0.125662612526
2019-03-20,0.195916078868
2019-03-21,0.253410055206
2019-03-22,0.146041695027
2019-03-25,0.299269683688
2019-03-26,0.478322412865
2019-03-27,0.28228118559
2019-03-28,0.417584174489
2019-03-29,0.478978242708
2019-04-01,0.465227710147
2019-04-02,0.615009389159
2019-04-03,0.548679987078
2019-04-04,0.488112535375
2019-04-05,0.473651257924
2019-04-08,0.630015189763
2019-04-09,0.56740921383
2019-04-10,0.482661483932
2019-04-11,0.519738298966
2019-04-12,0.508930745079
2019-04-15,0.523835565619
2019-04-16,0.473858819434
2019-04-17,0.388606475321
2019-04-18,0.393404471313
2019-04-22,0.438463408882
2019-04-23,0.554201644793
2019-04-24,0.538969536873
2019-04-25,0.628198738727
2019-04-26,0.646880007349
2019-04-29,0.58539770571
2019-04-30,0.584147496447
2019-05-01,0.588731788731
2019-05-02,0.557216157014
2019-05-03,0.669627479861
2019-05-06,0.654357240311
2019-05-07,0.45636684742
2019-05-08,0.422442291299
2019-05-09,0.403781352865
2019-05-10,0.364433748086
2019-05-13,0.138560040929
2019-05-14,0.179924636736
2019-05-15,0.212389795692
2019-05-16,0.315993234799
2019-05-17,0.250430642252
2019-05-20,0.21121872409
2019-05-21,0.284042401359
2019-05-22,0.216925152954
2019-05-23,0.158526165818
2019-05-24,0.145994360403
2019-05-28,0.104008279926
2019-05-29,0.0739492806494
2019-05-30,0.163815502622
2019-05-31,-0.00642528062766
2019-06-03,0.0205088065009
2019-06-04,0.0893154871983
2019-06-05,0.11312464215
2019-06-06,0.148327332382
2019-06-07,0.160678212307
2019-06-10,0.195498459934
2019-06-11,0.172821129017
2019-06-12,0.152503162661
2019-06-13,0.167699356091
2019-06-14,0.183394760956
2019-06-17,0.173324293239
2019-06-18,0.242656839602
2019-06-19,0.275778276393
2019-06-20,0.362878101519
2019-06-21,0.343547904253
2019-06-24,0.373748624746
2019-06-25,0.299365887078
2019-06-26,0.381818724573
2019-06-27,0.392220701572
2019-06-28,0.486119425313
2019-07-01,0.495591308266
2019-07-02,0.50957498931
2019-07-03,0.538949895655
2019-07-05,0.559601344803
2019-07-08,0.472398142877
2019-07-09,0.425739867029
2019-07-10,0.398010867705
2019-07-11,0.390249913205
2019-07-12,0.467053564344
2019-07-15,0.41161522934
2019-07-16,0.382123063297
2019-07-17,0.345744293966
2019-07-18,0.343170538028
2019-07-19,0.288435585421
2019-07-22,0.332789231009
2019-07-23,0.383352242755
2019-07-24,0.401790875867
2019-07-25,0.336159341065
2019-07-26,0.325148994724
2019-07-29,0.33441588123
2019-07-30,0.360684092164
2019-07-31,0.32652349273
2019-08-01,0.235662958054
2019-08-02,0.194779087988
2019-08-05,-0.0303829318756
2019-08-06,0.0230150892793
2019-08-07,0.00535905793021
2019-08-08,0.106144967622
2019-08-09,0.0659020047162
2019-08-12,-0.000537820905835
2019-08-13,0.136889744314
2019-08-14,-0.0215743086875
2019-08-15,-0.0458299355066
2019-08-16,0.0901499161608
2019-08-19,0.115826884931
2019-08-20,0.04663432225
2019-08-21,0.0823476955445
2019-08-22,0.066560035169
2019-08-23,-0.0892127000311
2019-08-26,-0.0122856957642
2019-08-27,-0.0692061092159
2019-08-28,-0.0760135332015
2019-08-29,-0.000764865722596
2019-08-30,-0.0312995149963
2019-09-03,-0.0461605840528
2019-09-04,0.0185013288985
2019-09-05,0.106597574975
2019-09-06,0.128971441716
2019-09-09,0.150439444998
2019-09-10,0.165740414783
2019-09-11,0.197675227875
2019-09-12,0.192566173049
2019-09-13,0.186116502539
2019-09-16,0.135629215562
2019-09-17,0.149510820478
2019-09-18,0.185188466688
2019-09-19,0.153152976099
2019-09-20,0.116171955621
2019-09-23,0.0685814038397
2019-09-24,0.0201703370414
2019-09-25,0.0783513536011
2019-09-26,0.0716716551567
2019-09-27,0.0595642708948
2019-09-30,0.0733564721075
2019-10-01,-0.000131136857112
2019-10-02,-0.128328327602
2019-10-03,-0.078305665629
2019-10-04,0.00213930517384
2019-10-07,0.0241589691896
2019-10-08,-0.0351111211732
2019-10-09,0.0211170214316
2019-10-10,0.0674273584376
2019-10-11,0.331604657813
2019-10-14,0.450431456084
2019-10-15,0.425641256985
2019-10-16,0.449734376305
2019-10-17,0.339078756748
2019-10-18,0.316713848536
2019-10-21,0.448290218509
2019-10-22,0.428660111737
2019-10-23,0.472769153875
2019-10-24,0.518830302706
2019-10-25,0.747177362222
2019-10-28,0.669783989288
2019-10-29,0.778606558524
2019-10-30,0.841631042182
2019-10-31,0.726577341678
2019-11-01,0.719551026315
2019-11-04,0.677385001907
2019-11-05,0.710938264498
2019-11-06,0.680233387658
2019-11-07,0.658279968478
2019-11-08,0.544104973692
2019-11-11,0.547870763134
2019-11-12,0.618644411587
2019-11-13,0.757182032652
2019-11-14,0.772560092514
2019-11-15,0.872505148677
2019-11-18,0.808675701549
2019-11-19,0.79051543975
2019-11-20,0.880147472974
2019-11-21,0.996781413646
2019-11-22,0.991318101378
2019-11-25,1.0848024559
2019-11-26,1.00149925817
2019-11-27,1.00766286071
2019-11-29,0.83726103005
2019-12-02,0.792827874359
2019-12-03,0.693632317048
2019-12-04,0.663970662115
2019-12-05,0.914730354004
2019-12-06,0.986892140095
2019-12-09,1.14131413274
2019-12-10,1.12153200194
2019-12-11,1.14445458776
2019-12-12,1.16558754219
2019-12-13,1.1677410187
2019-12-16,1.36277613804
2019-12-17,1.52942437105
2019-12-18,1.52592529827
2019-12-19,1.67842965514
2019-12-20,1.83983286318
2019-12-23,2.01990175978
2019-12-24,2.26593508711
2019-12-26,2.07392649723
2019-12-27,2.00945295941
2019-12-30,1.97066919584
2019-12-31,1.92973047682
2020-01-02,1.98362814469
2020-01-03,2.16809092102
2020-01-06,1.99156038811
2020-01-07,1.91005656889
2020-01-08,1.87377460618
2020-01-09,1.89430059676
2020-01-10,1.83176668185
2020-01-13,1.89024305502
2020-01-14,1.92460638929
2020-01-15,1.85599437384
2020-01-16,1.90502384527
2020-01-17,1.87598552285
2020-01-21,1.75003244586
2020-01-22,1.89004405279
2020-01-23,1.88127455682
2020-01-24,1.78488008435
2020-01-27,1.56397830398
2020-01-28,1.7166263983
2020-01-29,1.7221003341
2020-01-30,1.6289611671
2020-01-31,1.3883880983
2020-02-03,1.44061008989
2020-02-04,1.50166311442
2020-02-05,1.5520458332
2020-02-06,1.59927953663
2020-02-07,1.63671287729
2020-02-10,1.69065830068
2020-02-11,1.69916738726
2020-02-12,1.65193673685
2020-02-13,1.6127186261
2020-02-14,1.65174509689
2020-02-18,1.53994953377
2020-02-19,1.56665880599
2020-02-20,1.51832124668
2020-02-21,1.45353879458
2020-02-24,1.07331465404
2020-02-25,0.792804708692
2020-02-26,0.76913895158
2020-02-27,0.401511570541
2020-02-28,0.36092991984
2020-03-02,0.617822050601
2020-03-03,0.439166878668
2020-03-04,0.709626705288
2020-03-05,0.515709310983
2020-03-06,0.456203790444
2020-03-09,-0.0167989459972
2020-03-10,0.177910334961
2020-03-11,-0.106679681408
2020-03-12,-0.583674805922
2020-03-13,-0.122448329166
2020-03-16,-0.59190676227
2020-03-17,-0.363757289214
2020-03-18,-0.548252169117
2020-03-19,-0.519472032194
2020-03-20,-0.711626502314
2020-03-23,-0.746628845539
2020-03-24,-0.378879343191
2020-03-25,-0.363346651508
2020-03-26,-0.128830242565
2020-03-27,-0.252545332279
2020-03-30,-0.161543014674
2020-03-31,-0.252898096053
2020-04-01,-0.395306786338
2020-04-02,-0.325982293194
2020-04-03,-0.381766027199
2020-04-06,-0.161800271328
2020-04-07,-0.169975666575
2020-04-08,-0.0412827363006
2020-04-09,-0.00603402801199
2020-04-13,-0.0379202096013
2020-04-14,0.0381721599679
2020-04-15,-0.0290395028469
2020-04-16,-0.0120367883749
2020-04-17,0.0794977371784
2020-04-20,0.0186952746044
2020-04-21,-0.0799177092629
2020-04-22,-0.0356167818164
2020-04-23,-0.0301882899697
2020-04-24,0.0145420060183
2020-04-27,0.0459609622404
2020-04-28,0.0266310929744
2020-04-29,0.10615986262
2020-04-30,0.101138474616
2020-05-01,0.0210885529655
2020-05-04,0.00476569604064
2020-05-05,0.0467030723503
2020-05-06,0.0764571872178
2020-05-07,0.117133161081
2020-05-08,0.178552202916
2020-05-11,0.167929716215
2020-05-12,0.179401277493
2020-05-13,0.101001622597
2020-05-14,0.118735467866
2020-05-15,0.10375215511
2020-05-18,0.218024944896
2020-05-19,0.206785416541
2020-05-20,0.231833152172
2020-05-21,0.216899883763
2020-05-22,0.261024437415
2020-05-26,0.294597488498
2020-05-27,0.365666870435
2020-05-28,0.380718469022
2020-05-29,0.389262761272
2020-06-01,0.441756086871
2020-06-02,0.475531704062
2020-06-03,0.452531007973
2020-06-04,0.417534913449
2020-06-05,0.477946437847
2020-06-08,0.48285625405
2020-06-09,0.444917073986
2020-06-10,0.429937491756
2020-06-11,0.252207418942
2020-06-12,0.279210650132
2020-06-15,0.309180382995
2020-06-16,0.363007202128
2020-06-17,0.323420417748
2020-06-18,0.31650215526
2020-06-19,0.27144179079
2020-06-22,0.294896001246
2020-06-23,0.31322897442
2020-06-24,0.263692700476
2020-06-25,0.300255789598
2020-06-26,0.216048709254
2020-06-29,0.24271848901
2020-06-30,0.265803396521
2020-07-01,0.272261950081
2020-07-02,0.263225457858
2020-07-06,0.315808808269
